Alert_Time	Token	Adress	Market_Cap	Token_Price	Mint_Authority	LP_burned	Trending	Lord_Impact	Lord_Ratio	TwentyFourHoursVol	Lord_Score	Holders	Deployer	Deployer_Percent	Top_Holders	Liquidity_Pool_Balance	SOL_Supply
05/03 06:21:07 UTC	Choppywifhat	GJVyLNKPUArmxfRD3sxE8dHxUQZN1u5dyiU9umU9jLFA	$35,042	$0.0350	Disabled	100%	#15	12.8	2.4	$82,228 | 2724.00%	49.57	318	19.76 SOL	0.00%	37.82%	$8,432	31.9 / 12.0%
05/03 08:49:42 UTC	BABYMYRO	5AubNFWbb7HYMXN4dXUcPiRaUSA3GiFuF3mBz1Z3eNV6	$46,755	$0.0000467	Disabled	100%🔥	#0	0	6.2	$290,945 | 2826.00%	5.08	474	1.57 SOL	4.00%	30.60%	$15,907	61.0 / 17.0%
05/03 08:59:40 UTC	Spurdo	EcBURjXGUruK7MCUHhvPTk2aoFCDRBP4rE2MLNH3KDUR	$42,811	$0.0428	Disabled	100%	#11	18	5.1	$217,792 | 2881.00%	10.57	402	1.21 SOL	0.00%	28.47%	$11,059	43.3 / 12.7%
05/03 11:38:41 UTC	UPDOGE	5BPZHgUCRurZWsbhTtgYMVLeSbE9xd3uLE6PiZF3fXid	$64,158	$0.0000642	Disabled	N/A	#6	22.8	8.6	$550,480 | 2791.00%	13.47	583	18.84 SOL	0.00%	30.40%	$16,450	62.5 / 12.8%
05/03 12:47:18 UTC	SMASH	4NWqZ7QNzLYaZSuekFN4BMaQNZ6DHDLaJHykxriGBtCe	$41,009	$0.00820	Disabled	100%	#13	18	9.4	$385,394 | 2531.00%	7.74	504	1.54 SOL	0.00%	34.67%	$10,592	40.6 / 12.7%
05/03 13:16:05 UTC	$TRUMP2.0	7qh4Z27FcTBNFt7euKpPjCbQoVKpruNj9QnboqGodNcG	$39,212	$0.0196	Disabled	95%	Not Trending	0	38.5	$1,508,506	4.86	210	3.42 SOL	0.00%	59.36%	$10,811	40.9 / 13.8%
05/03 14:12:41 UTC	REFUNDATION	H7w4LvpsXTWLEkF6cxEcKTDgTsFqMViqRv1xKLvgLebW	$120,709	$0.0000172	Disabled	N/A	#0	0	7.3	$880,997 | 11522.00%	0.60	312	1.62 SOL	0.00%	37.06%	$19,288	73.0 / 8.0%
05/03 14:12:41 UTC	REFUNDATION	H7w4LvpsXTWLEkF6cxEcKTDgTsFqMViqRv1xKLvgLebW	$120,709	$0.0000172	Disabled	N/A	#0	0	7.3	$880,997	0.60	312	1.62 SOL	0.00%	37.06%	$19,288	73.0 / 8.0%
05/03 14:30:42 UTC	Doge Coin	GXhu7Qmz6JCpMifTxumTvhkT3RjpyJmMo9wcG78EHS8g	$45,388	$0.00349	Disabled	100%🔥	Not Trending	0	0.7	$30,522 | 3235.00%	2.10	355	1.20 SOL	0.00%	16.90%	$12,358	46.7 / 13.6%
05/03 15:08:16 UTC	FIBO	2tvamuLNGFycbPiGazx1mCZAbGcfBiirT8jUVdJgSfh3	$78,934	$0.0000789	Disabled	100%	#3	26	6.1	$481,888 | 5237.00%	1.45	571	2.87 SOL	10.00%	35.35%	$17,400	62.9 / 11.3%
05/03 16:29:29 UTC	$BABYDOGWIF	FC2WSarqQ9DE6ME1CkTZHcXRFdg9NwqjJEJN2i5u18Fc	$95,284	$0.0000953	Disabled	100%🔥	Not Trending	0	13.3	$1,264,389 | 7785.00%	11.66	791	35.92 SOL	0.00%	36.21%	$17,036	63.3 / 8.9%
05/03 18:35:28 UTC	BABYHAT	F9HsFegxdLyCSp91wVcUeTTjS7PD8fb3XZ5Rm1t4j9rE	$32,967	$0.0000000478	Disabled	100%🔥	#0	0	7.4	$243,339 | 2793.00%	1.09	239	0.12 SOL	0.00%	55.31%	$9,731	36.7 / 14.6%
05/03 19:34:29 UTC	CHOPPY	HyC88nKxLcBHdhxNN7eooDrFNnatd3FCtoXKpevTepeF	$936,758	$0.000937	Disabled	100%🔥	Not Trending	0	9.0	$8,438,743 | 23684.00%	8.64	1795	0.98 SOL	0.00%	27.29%	$76,339	293.0 / 4.1%
05/03 19:59:04 UTC	COKE	HQLDubGVBPEXLSLEjBCXT42Tt8ZwMXr1wdpV1747XfJo	$24,961	$0.0000250	Disabled	100%🔥	#0	0	5.1	$126,586 | 2331.00%	1.17	220	0.59 SOL	5.00%	40.83%	Raydium COKE/SOL $9,269	38.7 / 18.6%
05/03 20:39:58 UTC	PIP	EEfuxw7vmtoqG3EWzJAo6Txb5z1ci5wvMw2wrHwdQSq1	$354,745	$0.355	Disabled	N/A	#0	0	2.0	$700,315 | 17003.00%	0.62	544	4.20 SOL	0.00%	27.43%	Raydium PIP/SOL $30,979	131.0 / 4.3%
05/03 21:01:07 UTC	AUTISTIC PEPE	6DZ22KH4MP6KzjfD4yaXp54irfzwmFMPueqp3KFBtfQb	$30,115	$0.0000339	Disabled	100%	#18	10.8	23.1	$696,071 | 3680.00%	15.88	541	2.02 SOL	0.00%	27.77%	$10,204	41.4 / 17.0%
05/03 21:48:40 UTC	hezby	GMA6e8dqKAXRNvCtU1t4Xzmsirb4ywyidvVcZTgjDjuX	$29,084	$0.0291	Disabled	N/A	Not Trending	0	7.1	$206,225 | 1682.00%	1.18	282	8.24 SOL	0.00%	39.79%	$9,569	38.6 / 16.7%
05/03 23:35:54 UTC	JUAN	HDhYZzXfAZ9JzpXyb5xyqUDVgW1fcPbm9eVZBNCJfRLV	$20,579	$0.0000232	Disabled	100%🔥	#0	0	8.2	$167,758 | 2465.00%	3.82	229	0.00 SOL	0.00%	43.24%	$7,944	31.3 / 19.4%
06/03 00:52:20 UTC	rockwifhat	FWBUt8yaeMLkuV5gbJ2c3LsV3TmfdGuWm2dUrAJ6XYAp	$51,298	$0.0000513	Disabled	100%🔥	#0	0	7.5	$384,041 | 3953.00%	2.33	373	0.06 SOL	0.00%	37.89%	$11,394	43.1 / 11.7%
06/03 02:50:04 UTC	Anita Max Dipp	7oHgUho1acFhaxPUDesyhFEC53bo6iHzUVm4z2cERP2g	$51,317	$0.000513	Disabled	N/A	#0	0	2.3	$117,294	6.68	287	1.03 SOL	0.00%	27.74%	Raydium ATH/SOL $14,483	59.1 / 14.2%
06/03 03:36:53 UTC	BONZI	8QNPYbKjZ27AHact8BPZc98jPHH9CTcw64K6VU43HB9o	$554,324	$0.000624	Disabled	100%	#6	41.6	8.8	$4,867,281 | 66325.00%	37.95	1663	2.01 SOL	0.00%	20.89%	$52,434	212.3 / 4.8%
06/03 05:16:40 UTC	$sitoshi	4pusRSMvrUmgy5KqqDFv91NFuFSYTbasipjCmwDgEqb8	$72,701	$0.0727	Disabled	99%	#13	14.8	5.0	$362,084 | 3588.00%	78.32	311	0.00 SOL	0.00%	34.11%	$15,930	61.6 / 11.1%
06/03 07:14:53 UTC	Full Send	3onCJrZHgUt2Wq5eVERapcYnv7pDFVSKZgko3Zx4Hatc	$73,634	$0.0000736	Disabled	100%🔥	#0	0	3.6	$265,606 | 7753.00%	4.90	421	0.13 SOL	4.00%	35.93%	$16,839	63.9 / 11.4%
06/03 07:22:29 UTC	$obema	EeHCoFA2ajdsdAuDXamom8tbqahEbhcS6QzsrurWVZ1X	$67,182	$0.0672	Disabled	N/A	Not Trending	0	2.2	$148,055	7.94	237	1.93 SOL	0.00%	34.26%	$13,674	51.5 / 10.2%
06/03 07:48:43 UTC	xi jonpeng	CEiz8weyrrptwJ2hqpaJqDUKSHBa3dRBGY4pSTdSHoxV	$52,996	$0.0000530	Disabled	100%🔥	#0	0	6.3	$333,840 | 2434.00%	17.56	453	9.11 SOL	0.00%	30.47%	Raydium XI/SOL $14,693	55.7 / 13.8%
06/03 08:07:53 UTC	HeryPuderObemaKneckles9Enu	DsVRHMCQLkqZnpymt6hS7LcuAwnCFdjwZX8QKtKb9z5P	$25,135	$0.0000251	Disabled	N/A	#0	0	23.2	$583,894 | 999.00%	7.31	333	15.52 SOL	0.00%	33.99%	Raydium ETERIUM/SOL $7,875	29.3 / 15.9%
06/03 08:21:37 UTC	PONKO	3Bas7hMnRvRtE3iPmffQ7gFmX99iGv2uAKpDVouHvvx7	$23,693	$0.000237	Disabled	100%🔥	#0	0	11.2	$266,075 | 1319.00%	3.14	310	4.00 SOL	0.00%	35.53%	$5,962	22.7 / 12.3%
06/03 11:14:04 UTC	$911	5MpM3TdWpS3qNVnyyGxstZwUgMk79HWHjGgbirdiGgdg	$51,252	$0.0000512	Disabled	100%🔥	#0	0	13.1	$670,304 | 3279.00%	16.60	480	0.28 SOL	0.00%	33.08%	Raydium 911/SOL $9,716	36.4 / 9.6%
06/03 11:27:31 UTC	$SIUUU	BQ74oddoJCJKz9W4QaDzLFh1JvLbmXRCvdaC65P7anex	$54,112	$0.0000541	Disabled	100%🔥	#0	0	10.8	$583,750 | 1703.00%	16.11	499	5.66 SOL	0.00%	29.93%	$14,871	56.3 / 13.7%
06/03 13:05:40 UTC	cripto skem	H5QM1wgRC4VppEfD3Pr3q2xgYJpWpmxmn3V7hWySoZ9Q	$37,476	$0.00375	Disabled	N/A	#0	0	12.1	$453,378 | 1986.00%	1.77	305	11.20 SOL	0.00%	39.22%	Raydium skem/SOL $11,704	45.6 / 15.7%
06/03 16:33:07 UTC	CURIE	4upYkQccCK5GshNg8r48q99M7oVGTFAwUUGA6v1US6vQ	$38,065	$0.000381	Disabled	N/A	#0	0	79.3	$3,019,139 | 2360.00%	5.80	482	33.42 SOL	0.00%	33.92%	Raydium CURIE/SOL $6,961	26.5 / 9.3%
06/03 16:27:40 UTC	$massi	458DMCzXR72v3otD7QAqwLcSXnHL2TPovwS6uiHyCAM2	$104,326	$0.000117	Disabled	100%🔥	Not Trending	0	3.9	$401,519 | 12300.00%	6.25	650	0.00 SOL	0.00%	34.30%	$18,516	71.7 / 8.9%
06/03 17:47:40 UTC	$spidor	GqVJzpx6xFYWrDxyJRzWgv3WU4LZrSFQb8Z4qr5XZhNF	$62,266	$0.000623	Disabled	100%🔥	Not Trending	0	3.3	$206,732 | 9526.00%	4.57	448	1.58 SOL	0.00%	34.13%	$13,522	51.8 / 10.9%
06/03 17:50:52 UTC	BOTRIN	8iKgDgdq2VmdQkn7DT5HpXWFgYnQ4s3J4ttpdeajLAWY	$54,777	$0.0000548	Disabled	100%🔥	Not Trending	0	7.3	$402,881 | 3370.00%	9.81	516	3.36 SOL	1.00%	32.25%	$9,742	37.2 / 9.0%
06/03 19:07:29 UTC	TOYLOR	23H5W8Mqumy1FGSUB2FjY81hYUuCibX7trZv8cqsvUhw	$23,058	$0.0000231	Disabled	N/A	#0	0	13.1	$301,326 | 1063.00%	14.94	298	13.55 SOL	0.00%	32.67%	Raydium TOYLOR/SOL $9,174	35.2 / 19.9%
06/03 19:16:09 UTC	JEBS	78Kn6hNs9D1xTRhLTiy8yrrfMKneK3AmN8VQvUbr22Vn	$50,703	$0.0000507	Disabled	N/A	#0	0	8.5	$432,489	3.42	299	2.71 SOL	0.30%	43.79%	$14,745	56.9 / 14.5%
06/03 19:31:40 UTC	MEROO	ED8vN4UK7qgJYAcKFDtaLgQbxXkxK9va1dCtMsQvi45c	$234,174	$0.0180	Disabled	N/A	Not Trending	0	1.0	$225,174 | 12658.00%	15.31	526	0.80 SOL	0.00%	15.36%	$32,308	125.5 / 6.7%
06/03 20:03:47 UTC	FINE	KGPoDwbrx6GGMg3mfCh5Ho65NeMGCD25HX5f3zkbya8	$38,593	$0.0000386	Disabled	100%🔥	#0	0	6.2	$237,472 | 4012.00%	6.25	289	0.11 SOL	4.00%	35.87%	Raydium FINE/SOL $12,123	46.1 / 15.7%
06/03 20:16:53 UTC	BUNCH	4D9mo5TJZBpG1tVVFbbA9ytBWrTBNJkgdCVRjSjT3pNt	$38,923	$0.000390	Disabled	100%🔥	#0	0	12.6	$489,894 | 1572.00%	18.86	345	0.11 SOL	0.00%	35.95%	$10,053	38.3 / 12.9%
06/03 21:13:05 UTC	$bnok	33Cwp3vesmcCo2SCufYDZGHUP21HEXvmRFJnTRHrdJPm	$50,041	$0.0000500	Disabled	100%🔥	Not Trending	0	10.1	$505,669	2.81	399	21.87 SOL	0.00%	41.91%	$10,118	37.5 / 10.3%
06/03 21:07:53 UTC	babydogwifhat	9ceEjz32cv8jBcqsppgjrryiE2tor7PCm7j9mYk8gzTk	$319,976	$0.000320	Disabled	100%🔥	#0	0	1.4	$446,513 | 16540.00%	2.40	589	1.59 SOL	4.00%	53.62%	$41,893	158.8 / 6.6%
06/03 21:41:14 UTC	BENK	6y6PsaepvuWYnhEoEHbG4BUG1xnYy7EAhsMALhKVqVBM	$67,142	$0.0671	Disabled	N/A	#6	20.8	2.8	$187,170 | 1276.00%	2.46	424	9.22 SOL	2.00%	27.82%	$13,258	50.2 / 9.9%
06/03 21:59:55 UTC	$hrumbae	AMHL3XFGHkF3cgiL5fqVhaU66XndHZMP1qUsdCPPtSjN	$80,172	$0.0000802	Disabled	N/A	#0	0	1.1	$89,053	13.29	239	2.07 SOL	0.00%	46.31%	$15,354	57.1 / 9.7%
06/03 22:22:55 UTC	$doeg	7DVKjqoKwAPFaaYPLAX5JNzWbMEZj7W7cF9Jb2cgepUE	$88,566	$0.00000128	Disabled	N/A	#0	0	2.8	$243,237	3.18	333	0.00 SOL	0.00%	54.17%	$30,493	115.9 / 17.2%
06/03 22:50:19 UTC	$alfa	5xoJE5QrtF2ZDy844gz7Z5EXBswjp8VoS1qrcQyHnAm8	$52,923	$0.0529	Disabled	N/A	#7	20.8	3.9	$206,127 | 2772.00%	0.74	274	4.08 SOL	0.00%	41.74%	$13,389	51.7 / 12.5%
06/03 23:16:56 UTC	SKEM	GtUpKyBPHj9uRFhoaWHig8qAVVqDssGB63ZUaxSdopnY	$23,570	$0.0000236	Disabled	100%🔥	#0	0	3.2	$75,567 | 2059.00%	7.08	200	0.81 SOL	4.00%	45.90%	$9,312	35.0 / 19.9%
07/03 01:33:56 UTC	$doginme	7QdKNSv1tgzoewzZ5vjH4frD5AEfUpvhfBX1mT8B9QZd	$51,630	$0.0000516	Disabled	N/A	#0	0	46.1	$2,379,660 | 2365.00%	5.58	303	1.43 SOL	8.00%	50.21%	Raydium doginme/SOL $12,099	45.2 / 11.7%
07/03 03:51:28 UTC	$boden	EWyX7153xE7fJKocVWMydCShqoTGpreu12ydWydo8TAt	$188,302	$0.000188	Disabled	100%🔥	Not Trending	0	6.4	$1,201,684 | 10350.00%	41.55	660	8.55 SOL	0.00%	43.69%	$26,364	94.4 / 7.0%
07/03 04:19:32 UTC	$YEEZUS	HXi3NRTuSU5fFUdiCvprXUAfG4VtP7SDN8aNYc3V1L2A	$43,899	$0.0000439	Disabled	100%🔥	#0	0	1.4	$60,036 | 1539.00%	4.49	254	1.34 SOL	0.00%	27.50%	Raydium YEEZUS/SOL $13,660	48.9 / 15.6%
07/03 04:51:33 UTC	Bodenwifhat	5FBQvGuWXTMriuBryFdMFUBDzm1ADe4yTSh8wUXvcaeG	$311,922	$0.000312	Disabled	100%🔥	Not Trending	0	9.5	$2,955,553 | 17041.00%	36.22	788	0.00 SOL	0.00%	38.95%	$46,855	167.7 / 7.5%
07/03 05:52:54 UTC	Droke	3M5cs1mm4Gu3SujxPN8uMN5rSjfcDEfTCpCBHttfqy63	$488,736	$0.000489	Disabled	100%	#13	51.2	6.4	$3,135,243 | 46831.00%	47.47	1486	27.69 SOL	2.00%	23.74%	$52,466	192.8 / 5.3%
07/03 06:06:18 UTC	Dill Doe	AgGPQXHAxn3ALxkLA2VD9CVLdsfe16zdjgoUwsWLZnb2	$60,708	$0.000607	Disabled	100%🔥	#0	0	21.6	$1,309,816 | 2823.00%	34.82	530	4.16 SOL	0.00%	36.28%	$18,891	69.1 / 15.5%
07/03 07:34:53 UTC	MkDolans	BqhTUtbaymxFzpHjsVGiDGQCxzrR1r6sTZqmfcx3ooKa	$42,543	$0.0000425	Disabled	100%🔥	#0	0	2.1	$88,103 | 3857.00%	12.52	274	0.32 SOL	4.00%	44.66%	$12,367	44.7 / 14.5%
07/03 08:38:18 UTC	PANG	CqPMxGZKafUwio8LXCcJ5afW3nXozo67S8wKw1R9NKp5	$26,420	$0.000264	Disabled	100%🔥	#0	0	36.0	$951,329 | 2593.00%	6.02	324	4.94 SOL	0.00%	35.46%	$8,982	31.3 / 17.4%
07/03 09:38:17 UTC	$rej	C2KMfarxjckwbp2uc3v3YzcGnSSPnGdrNF8f2aNFdXhh	$24,377	$0.00244	Disabled	100%	#14	10.8	8.2	$198,856	5.61	277	13.10 SOL	0.00%	33.27%	$7,444	26.0 / 15.6%
07/03 10:54:16 UTC	EMERICA	AUPThdcqmn8mNTVmkT9aNDkXzUoNTKTux3pVZ17KsSfr	$33,884	$0.0000339	Disabled	100%	#12	16.4	18.3	$618,240 | 2848.00%	7.61	412	10.50 SOL	0.00%	31.19%	$8,167	29.3 / 12.1%
07/03 12:37:30 UTC	BORUS	FQsWtiGFkF3iU1CvzED3fqavgq1q45op7DCUUHihurdk	$87,164	$0.000872	Disabled	100%🔥	#0	0	6.2	$539,871 | 5648.00%	0.64	356	1.75 SOL	0.00%	27.20%	$20,235	71.5 / 11.6%
07/03 13:33:30 UTC	Snoopy	4LP5JKsyKC5pSAoodwcZnDCSK2ggsMcZvHKoo7HCPDCV	$276,461	$0.00276	Disabled	100%🔥	Not Trending	0	1.1	$296,966 | 27.77%	3.12	919	9.11 SOL	1.79%	33.41%	$59,471	207.0 / 10.8%
07/03 13:48:07 UTC	PING	661NGUirrEg3HLW8Bfq9s3e6MEo4bdAficSTS252DRyT	$35,117	$0.000351	Disabled	100%🔥	#0	0	2.3	$79,766 | 4768.00%	1.12	340	4.69 SOL	0.00%	32.89%	$10,316	35.6 / 14.7%
07/03 14:41:32 UTC	Baby Peng	FvXTLBYGnFqPSsorc687RgJpYtkxVE7N6hsa7wMsTWD8	$85,441	$0.000854	Disabled	100%🔥	#0	0	4.2	$357,949 | 9163.00%	10.81	711	4.00 SOL	0.00%	21.68%	$15,295	52.4 / 8.8%
07/03 15:19:28 UTC	PIMPE	4mdwzfAJBxruY5MavrRMqTG9HDfjwuNgLHp4b9HFbjNE	$124,502	$0.0000124	Disabled	N/A	Not Trending	0	1.2	$152,217	5.31	458	13.64 SOL	0.00%	39.54%	$22,808	78.6 / 9.1%
07/03 16:01:31 UTC	$HAT	HfeEhcAx86jG9oiTqtAXYTatjtpcQKmvmoF7baHH8ppP	$133,911	$0.000137	Disabled	N/A	#0	0	13.9	$1,856,096	14.28	1050	3.04 SOL	6.13%	41.86%	$43,367	148.7 / 16.2%
07/03 18:12:40 UTC	RPG Maker AI	4TBocj8qeDQAKkuRraW7Nact3HkZbmPVMkrpPjeoquqS	$64,919	$0.0000730	Disabled	N/A	Not Trending	0	2.2	$140,840	1.47	323	1.29 SOL	0.00%	44.01%	$14,044	48.0 / 10.8%
07/03 21:29:28 UTC	Balltze	BqsE4AhFY1AoakyQXYWGRW8W8om94cBQ81wyKsZGkZEx	$22,811	$0.0000228	Disabled	100%🔥	#0	0	88.8	$2,024,997 | 1501.00%	42.66	490	40.47 SOL	0.00%	42.81%	$7,725	26.5 / 16.9%
07/03 22:24:53 UTC	Ms Paws	76dVoeSSM99NTaEFbZ4AUEvEVRP9rfgUCcPHU7kjKqsY	$240,963	$0.00241	Disabled	N/A	Not Trending	0	1.7	$416,354 | 8470.00%	3.04	297	4.76 SOL	0.00%	27.63%	Raydium SOLANA/SOL $38,435	131.9 / 8.0%
07/03 22:30:04 UTC	CHIN INU	54r33ewkz26aHK8qvDcqLae3TQBTpAxMeV12bYz1xjtg	$38,457	$0.000385	Disabled	100%🔥	Not Trending	0	7.1	$274,271 | 2589.00%	12.68	259	1.02 SOL	0.00%	34.34%	$14,017	48.4 / 18.2%
07/03 22:57:48 UTC	MMGA	2tCQSFF7A8aCf8esfFQiW8HnmW5BsFkk75qscEQq9vN8	$50,852	$0.0000509	Disabled	100%🔥	#0	0	3.5	$176,365 | 4053.00%	3.74	274	2.85 SOL	0.00%	37.15%	$13,556	46.7 / 13.3%
07/03 22:12:04 UTC	GNEP	3rsRjTGG1wVAnACHkPkNrXrnzqkyJDcJsVBQZ3AJnCB9	$134,640	$0.0135	Disabled	100%	#5	23.2	4.0	$545,728 | 6196.00%	11.46	541	1.52 SOL	0.00%	31.20%	$23,853	81.7 / 8.9%
08/03 00:37:40 UTC	Generational Wealth	2YuSzANgyU9rkFJn5aiAPJqN1kHgtZVQb4nWs1JLjLCw	$936,740	$0.000000128	Disabled	N/A	Not Trending	0	0.2	$188,771 | 2.38%	39.67	5447	0.05 SOL	0.00%	44.44%	Orca Wealth/SOL $168,492	514.1 / 10.0%
08/03 01:16:19 UTC	$SPURDSONS	DSavhCDd1BL1wJxcHFBsF7NY2ycb1ZEwJxksnwF23GUh	$24,089	$0.0000241	Disabled	100%🔥	#0	0	5.5	$132,913 | 2937.00%	8.74	210	0.81 SOL	5.00%	52.80%	$8,480	29.0 / 17.7%
08/03 01:20:18 UTC	BABY BRETT	9usczTSxLwvQwzRxrSjEpNtTVcCam95GiHfpopyM1ima	$62,376	$0.0000702	Disabled	N/A	#0	0	2.2	$137,896	1.44	319	0.80 SOL	0.00%	37.32%	$15,156	52.1 / 12.2%
08/03 04:04:00 UTC	DB	8jVsg3Qu1ht7u5iagfG3ZVzfC9dywFmASPMPyXtonTpr	$52,254	$0.0000523	Disabled	N/A	#0	0	2.3	$121,234	21.50	259	3.15 SOL	0.00%	43.84%	$12,735	44.1 / 12.2%
08/03 04:23:04 UTC	RAILS	2hu6ctJyYjdCUpwcE7S67QpCa1UGbmQwe7eyBjKdCpzu	$239,302	$0.000239	Disabled	100%🔥	Not Trending	0	6.0	$1,436,596 | 10927.00%	28.98	789	0.52 SOL	0.00%	21.48%	$30,004	104.1 / 6.3%
08/03 05:33:11 UTC	whatsthatbug	5caTDVjdLRZFywYZQjLFnm9xMocZC3gZ2zX6fVD9eQWa	$53,666	$0.000537	Disabled	N/A	#0	0	0.7	$39,945 | 3370.00%	3.72	217	1.75 SOL	0.00%	21.74%	$15,829	54.9 / 14.8%
08/03 08:42:06 UTC	VEGETA	H4RAzv2kWi7sbo1vAfgNm7rmCV38L7Vw4TScYmEZLhgN	$48,186	$0.000482	Disabled	100%🔥	#0	0	4.1	$195,572 | 6520.00%	12.30	407	14.63 SOL	0.00%	33.89%	$12,551	45.3 / 12.3%
08/03 12:16:42 UTC	Geku	7c15kTHmRv46eC8Cf1yxc1GpDqxzrDbLCb7ZkKDM6mBx	$31,493	$0.0000315	Disabled	100%🔥	#0	0	24.1	$759,558 | 2026.00%	4.88	512	12.00 SOL	0.00%	27.26%	$8,220	27.5 / 13.0%
08/03 12:48:18 UTC	$PENG2	HYvbf2KBSHTHZ8s4ej3giphwcmU8ruzBqrPQwWr86ah8	$45,849	$0.0000458	Disabled	100%	#5	28.4	6.5	$296,511 | 1913.00%	77.59	479	30.28 SOL	0.00%	38.12%	Raydium $PENG2/SOL	33.7 / 10.6%
08/03 13:45:29 UTC	$SOLE	GXvVuE4RJXZw3i2Red2CQ7mxv7v2QCi6uNmfjEXkjbHN	$243,279	$0.000243	Disabled	100%🔥	Not Trending	0	7.8	$1,908,246 | 4328.00%	16.55	1086	18.01 SOL	0.00%	30.30%	Raydium SOLE/SOL $26,480	89.3 / 5.4%
08/03 13:18:56 UTC	$WAGMI	5XuV4xTacPf3HxoMfY7jNCedgA8TFfWMHeBjwoCrckPL	$520,113	$0.00520	Disabled	100%	#18	15.2	4.8	$2,481,173 | 32377.00%	18.06	1486	1.75 SOL	0.00%	21.76%	$56,455	185.4 / 5.4%
08/03 14:10:30 UTC	LandWolf	4aTcyCEvxYpjQFVi343QRNhexeU8QqYkgxYMth6xf8VS	$202,152	$0.000202	Disabled	100%🔥	#6	24.4	9.9	$2,001,834 | 9300.00%	4.45	996	8.41 SOL	0.00%	32.37%	Raydium WOLF/SOL $32,096	106.8 / 8.1%
08/03 16:13:30 UTC	FOTTIE	2TgnSLdmYmrip6L5gbestQHvo2m1rvNSzFBwsJjWjqUd	$62,380	$0.0000624	Disabled	100%🔥	#0	0	3.0	$184,731 | 5228.00%	15.31	367	0.00 SOL	0.00%	38.25%	$13,749	47.4 / 11.1%
08/03 16:38:12 UTC	Myro 2.0	3S6wKey3gFhgesmRWc9z6Rojv2wtDniMn5agTQ9RomyZ	$34,225	$0.0000342	Disabled	100%🔥	#0	0	14.6	$497,972 | 1026.00%	15.36	353	4.18 SOL	0.00%	39.00%	$6,920	23.7 / 10.2%
08/03 17:19:13 UTC	BABY	5hmf8Jt9puwoqiFQTb3vr22732ZTKYRLRw9Vo7tN3rcz	$1,671,913	$0.00000170	Disabled	100%🔥	#0	0	0.5	$843,228 | 8.09%	27.19	2862	185.22 SOL	2.25%	43.91%	$146,470	496.5 / 4.4%
08/03 18:40:52 UTC	BRACE	6AdUrHpcjJuMZ4eddScAfzUFirrh9V9hUfKxjigekNdJ	$41,796	$0.0000470	Disabled	N/A	#0	0	5.8	$243,930	1.55	257	0.80 SOL	0.00%	35.25%	$12,435	41.9 / 14.9%
08/03 18:52:41 UTC	NIKI	Ecnb7pfVUe4dAaE4SC9iEn9Dr96cSx5G91nASvePszeB	$50,807	$0.0000529	Disabled	100%🔥	#0	0	9.5	$483,493 | 3216.00%	1.48	368	11.57 SOL	0.00%	43.53%	$13,559	45.7 / 13.3%
08/03 19:16:55 UTC	BGOKU	9T6ewKqcQ2QtswLUBkH5SmVEVGKpiXPmQScExY449hNW	$63,335	$0.0000633	Disabled	N/A	#13	16	2.3	$148,074	9.09	372	0.85 SOL	3.00%	33.18%	$16,476	57.0 / 12.7%
08/03 19:15:04 UTC	Palm AI	FvR6CRhyD7JstxYfK22WGhMDNieBifiTGbUjy6rSHC1q	$254,465	$0.000254	Disabled	N/A	#0	0	13.1	$3,327,599 | 8995.00%	9.40	788	0.99 SOL	5.00%	34.98%	Raydium PALM/SOL $32,335	110.3 / 6.3%
08/03 19:45:30 UTC	$FAT96	A2dMQ3ezrsFv65gzkDPHec3mawXGhPgYogPyorS7y8pQ	$240,869	$0.000241	Disabled	100%🔥	Not Trending	0	3.4	$813,084 | 10584.00%	5.38	276	13.02 SOL	0.00%	39.75%	$22,516	79.5 / 4.5%
08/03 19:59:42 UTC	Honk	3ag1Mj9AKz9FAkCQ6gAEhpLSX8B2pUbPdkb9iBsDLZNB	$18,568,609	$0.0186	Disabled	100%🔥	Not Trending	0	0.1	$2,227,979 | 40.81%	10975.38	9941	0.05 SOL	0.00%	29.74%	$878,105	2971.1 / 2.4%
08/03 20:49:54 UTC	BOY'S CLUB	2gRqgXxRL9umgEGELJvTVAk15hufaGZyrnnokdy8NDLD	$209,877	$0.0000210	Disabled	100%🔥	Not Trending	0	3.9	$826,682 | 12581.00%	18.45	785	3.62 SOL	0.00%	35.85%	$31,032	105.5 / 7.4%
08/03 21:00:28 UTC	BABY HARAMBE	5Ys8twKWfC9aFodKRHnHLCQhzzu9DEN5ZUzdrFekFgcK	$78,240	$0.0000782	Disabled	N/A	#0	0	2.6	$205,131 | 4339.00%	4.88	315	22.00 SOL	0.00%	43.38%	$14,931	50.8 / 9.6%
08/03 21:08:59 UTC	FLOKI	BWBbymEufxALYofRySYS2uiyu1aLyDAGJB6vagmAZNer	$20,739	$0.000207	Disabled	100%🔥	#0	0	47.3	$981,516 | 583.00%	1.96	338	3.50 SOL	2.00%	31.07%	$7,782	26.3 / 18.9%
08/03 21:20:16 UTC	RED	7zfnQC53eGtn2H6AxW16sGCmKnnUC8ajCwBVZwd7wtY3	$657,212	$0.00659	Disabled	N/A	Not Trending	0	1.1	$729,842 | 71.42%	12.87	1054	0.19 SOL	0.00%	30.57%	Raydium RED/SOL $95,701	324.9 / 7.3%
